activity,condition,n,pass,fail,deletion_full_goal_satisfied_false
bringing_paper_to_recycling,reference,3,2,1,0
bringing_paper_to_recycling,replay_valid_nonreference,3,0,3,0
bringing_paper_to_recycling,required_action_deletion,3,1,2,3
bringing_water,reference,3,0,3,0
bringing_water,replay_valid_nonreference,3,0,3,0
bringing_water,required_action_deletion,3,0,3,3
buy_pet_food_for_less,reference,3,0,3,0
buy_pet_food_for_less,replay_valid_nonreference,3,0,3,0
buy_pet_food_for_less,required_action_deletion,3,0,3,3
getting_package_from_post_office,reference,3,3,0,0
getting_package_from_post_office,replay_valid_nonreference,3,3,0,0
getting_package_from_post_office,required_action_deletion,3,3,0,3
moving_boxes_to_storage,reference,3,3,0,0
moving_boxes_to_storage,replay_valid_nonreference,3,3,0,0
moving_boxes_to_storage,required_action_deletion,3,3,0,3
outfit_a_basic_toolbox,reference,3,0,3,0
outfit_a_basic_toolbox,replay_valid_nonreference,3,0,3,0
outfit_a_basic_toolbox,required_action_deletion,3,0,3,3
packing_moving_van,reference,3,0,3,0
packing_moving_van,replay_valid_nonreference,3,0,3,0
packing_moving_van,required_action_deletion,3,0,3,3
picking_vegetables_in_garden,reference,3,1,2,0
picking_vegetables_in_garden,replay_valid_nonreference,3,2,1,0
picking_vegetables_in_garden,required_action_deletion,3,3,0,3
put_together_a_basic_pruning_kit,reference,3,0,3,0
put_together_a_basic_pruning_kit,replay_valid_nonreference,3,0,3,0
put_together_a_basic_pruning_kit,required_action_deletion,3,1,2,3
putting_shopping_away,reference,3,0,3,0
putting_shopping_away,replay_valid_nonreference,3,0,3,0
putting_shopping_away,required_action_deletion,3,0,3,3
set_up_a_home_office_in_your_garage,reference,3,0,3,0
set_up_a_home_office_in_your_garage,replay_valid_nonreference,3,0,3,0
set_up_a_home_office_in_your_garage,required_action_deletion,3,0,3,3
store_batteries,reference,3,1,2,0
store_batteries,replay_valid_nonreference,3,1,2,0
store_batteries,required_action_deletion,3,1,2,3
